site_name,date,site_UTM,site_UTM_error,weather,no_researchers,researcher_initials,start_air_temp,end_air_temp,start_time,end_time,species,snake_id_no,snake_UTM,snake_UTM_error,capture_time,SFD_body_swab_ID,no_lesions,SFD_lesion_swab_ID,age (A/J),sex (M/F),mass_g,svl_mm,total_length_mm,no_photographs,photo_ids,live_dead_frozen_skin,tick_sample_id,comments
Lloyd Railine,2022-07-21,20T 0400020 UTM 5081414,5,Sunny,2,"IA,AM",13,21,06:30,09:35,Maritime Garter,54,20T 0399520 UTM 5081642,3,07:22,"B_054,Bd_054",0,NA,A,F,84,398,486,3,"C274,C277,C281",live,NA,Small black bumps behind head
Lloyd Railine,2022-07-21,20T 0400020 UTM 5081414,5,Sunny,2,"IA,AM",13,21,06:30,09:35,Maritime Garter,55,20T 0399520 UTM 5081642,3,07:22,"B_055,Bd_055",0,NA,A,F,99,453,560,1,C282,live,NA,"Was shedding, collected shed aswell"
Lloyd Railine,2022-07-21,20T 0400020 UTM 5081414,5,Sunny,2,"IA,AM",13,21,06:30,09:35,Maritime Garter,56,20T 0399520 UTM 5081642,3,07:22,"B_056,Bd_056",0,NA,A,F,64,397,506,3,"C268,C275,C284",live,NA,NA
Lloyd Railine,2022-07-21,20T 0400020 UTM 5081414,5,Sunny,2,"IA,AM",13,21,06:30,09:35,Maritime Garter,57,20T 0399520 UTM 5081642,3,07:22,"B_057,Bd_057",0,NA,A,M ,76,458,567,2,"C276,C278",live,NA,Found under rock after other snakes were removed
Powerlines Riverview,2022-07-21,20T 0359874 UTM 5099469,3,Clear,2,"IA,SA",NA,NA,NA,NA,Red Bellied,58,20T 0359787 UTM 5099863,NA,9:43PM,"B_058,Bd_058",0,NA,NA,NA,NA,NA,NA,2,"C285,C286",live,NA,Found while walking trails outside of survey time
Upper Mills Acess Road,2022-07-26,19T 0632033 UTM 5002201,8,Sunny,2,"IA,AM",NA,NA,NA,NA,Red Bellied,59,19T 0399527 UTM 5081636,8,09:49,"B_059,Bd_059",0,NA,J,NA,5,144,185,5,"C288,C287",live,NA,"Found on the side of the road while driving ,under a tv"
Upper Mills Acess Road,2022-07-26,19T 0632033 UTM 5002201,8,Sunny,2,"IA,AM",NA,NA,NA,NA,Red Bellied,60,19T 0632033 UTM 5002201,6,10:15,"B_060,Bd_060",0,NA,A,F,7,180,218,4,"C290,C289",live,NA,NA
206 Synton,2022-07-28,20T 0348325 UTM 5097143,3,Clear and Sunny,2,"IA,AM",23,28,09:30,12:25,Unknown,61,20T 0348326 UTM 5097143,4,10:13,NA,NA,NA,NA,NA,NA,NA,NA,1,C291,skin,NA,"Snakeskin found during shedding,no physical data sheet"
206 Synton,2022-07-28,20T 0348325 UTM 5097143,3,Clear and Sunny,2,"IA,AM",23,28,09:30,12:25,Red Bellied,62,20T 0348325 UTM 5097143,3,10:35,"B_062,Bd_062",0,NA,A,F,10,168,210,2,"C294,C295",live,NA,"Grey discoloration,scake regrowth on anal scale found under imfltable pipe"
206 Synton,2022-07-28,20T 0348325 UTM 5097143,3,Clear and Sunny,2,"IA,AM",23,28,09:30,12:25,Maritime Garter,63,20T 0348326 UTM 5097145,3,10:35,"B_063,Bd_063",0,NA,J,NA,19,263,335,1,C296,live,NA,Found near 062
206 Synton,2022-07-28,20T 0348325 UTM 5097143,3,Clear and Sunny,2,"IA,AM",23,28,09:30,12:25,Unknown,64,20T 0348325 UTM 5097146,3,10:35,NA,NA,NA,NA,NA,NA,NA,NA,2,"C292,C293",skin,NA,"Snake skin found grass,no physical data sheet"
Summerville,2022-08-02,20T 0281998 UTM 5042339,NA,NA,1,AM,NA,NA,NA,NA,Maritime Garter,65,20T 0281998 UTM 5042339,NA,08:50,"B_065,Bd_065",NA,NA,J,NA,NA,NA,NA,1,C297,frozen,NA,"Dead snake ,no physical data sheet"
Powerlines Riverview,2022-08-11,20T 0359874 UTM 5099469,3,"Heavy cloud cover,light rain",2,"IA,CA",18,18,09:16,11:25,Maritime Garter,66,20T 0359874 UTM 5099469,3,10:37,"B_066,Bd_066",0,NA,J,NA,16,245,287,2,"C298,C299",live,NA,Has clouded eyelids prior to shedding
Baseball field,2022-08-12,20T 0319598 UTM 4841527,3,Cloudy with some sun,4,"IA,SA,SA,SA",20,20,11:15,12:00,Smooth Greensnake,67,20T 0319552 UTM 4841516,3,11:36,"B_067,Bd_067",0,NA,J,NA,4,70,80,1,C300,live,NA,"Neonate,found with  68"
Baseball field,2022-08-12,20T 0319598 UTM 4841527,3,Cloudy with some sun,4,"IA,SA,SA,SA",20,20,11:15,12:00,Smooth Greensnake,68,20T 0319522 UTM 4841516,3,11:36,"B_068,Bd_068",0,NA,J,NA,12,250,320,1,C301,live,NA,"Could be adult male,preshed liquid in eyes,does not reach adult female length,found with 67"
Baseball field,2022-08-12,20T 0319598 UTM 4841527,3,Cloudy with some sun,4,"IA,SA,SA,SA",20,20,11:15,12:00,Ring Neck,69,20T 0319598 UTM 4841527,3,11:45,"B_069,Bd_069",0,NA,J,NA,4,145,170,2,"C302,303",live,NA,Found during daylight under piece of wood
Homestead,2022-08-12,20T 0319140 UTM 4839235,5,Mostly sunny,4,"IA,SA,SA,SA",NA,NA,NA,NA,Maritime Garter,70,20T 0319140 UTM 4839235,5,01:24,"B_070,Bd_070",0,NA,A,F,42,379,397,2,"C304,C305",live,NA,"Missing most of tail,found in garden"
Lake John Road,2022-08-12,20T 0320407 UTM 4862685,NA,Cloudy with some sun,4,"IA,SA,SA,SA",20,25,02:25,04:40,Maritime Garter,71,20T 0320407 UTM 4862685,NA,02:53,"B_071,Bd_071",0,NA,A,F,96,500,613,2,"C306,C307",live,NA,NA
Lake John Road,2022-08-12,20T 0320407 UTM 4862685,NA,Cloudy with some sun,4,"IA,SA,SA,SA",20,25,02:25,04:40,Maritime Garter,72,20T 0319055 UTM 4858399,NA,03:36,"B_072,Bd_072",0,NA,A,M,96,465,570,1,C308,live,NA,Found near water
Lake John Road,2022-08-12,20T 0320407 UTM 4862685,NA,Cloudy with some sun,4,"IA,SA,SA,SA",20,25,02:25,04:40,Maritime Garter,73,20T 0321260 UTM 4862478,NA,04:41,"B_073,Bd_073",0,NA,A,M,135,577,717,2,"C309,C310",live,NA,Redish
Baseball field,2022-08-13,20T 0319598 UTM 4841527,3,Cloudy with some sun,4,"IA,SA,SA,SA",23,22,03:27,03:55,Ring Neck,74,20T 0319522 UTM 4841516,3,03:38,"B_074,Bd_074",0,NA,A,NA,10,219,300,1,C311,live,NA,NA
Mill,2022-08-14,20T 0319124 UTM 4839370,38,Cloudy,4,"IA,SA,SA,SA",NA,NQ,NA,NA,Smooth Greensnake,75,20T 0319124 UTM 4839370,38,10:39,"B_075,Bd_075",0,NA,A,NA,6,197,230,1,C312,live,NA,"Missing part of the tail,no physicla datashet."
Oxford,2022-08-18,20T 0439072 UTM 5071520,6,Partially cloudy,2,"IA,AM",22,23,10:27,01:21,Red Bellied,76,20T 0439072 UTM 5071520,6,11:30,"B_076,Bd_076",0,NA,A,F,11,226,275,1,C326,live,NA,Found in mossy forest habitat
Oxford,2022-08-18,20T 0439072 UTM 5071520,6,Partially cloudy,2,"IA,AM",22,23,10:27,01:21,Red Bellied,77,20T 0439072 UTM 5071520,6,11:30,"B_077,Bd_077",0,NA,A,M,10,183,228,2,"C329,C330",live,NA,NA
Oxford,2022-08-18,20T 0439072 UTM 5071520,6,Partially cloudy,2,"IA,AM",22,23,10:27,01:21,Red Bellied,78,20T 0439067 UTM 5071536,6,12:05,"B_078,Bd_078",0,NA,A,F,18.5,241,295,3,"C327,C328,C331",live,NA,NA
Point Pleasant,2022-08-22,20T 0455132 UTM 4941576,6,Sunny,2,"IA,SA",20,22,11:05,12:51,Ring Neck,79,20T 0455132 UTM 4941576,6,11:25,"B_079,Bd_079",0,NA,A,F,10,226,280,2,"C313,C314",live,NA,"Found with 80 and 81,damaged on 3 parts of tai"
