date,julian,plot_ID,group,plot_code,cloud_cover,current_precipitation,air_temp,humidity,,VWC,soil_temp,soil_pH,preceding_24h_rainfall,DSR,salamander_ID,species,social_status,group_size,mass_g,svl_mm,total_length_mm,sex,morph,gravid,age,zone,easting,northing,YSHR
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1006,RB,A,NA,0.16,23.47,41.93,J,RB,NA,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1007,RB,A,NA,0.27,28.61,54.10,J,RB,n,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1008,RB,A,NA,0.07,20.44,25.04,J,RB,n,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1010,RB,G,2,0.15,24.64,43.55,J,RB,NA,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1011,RB,A,NA,0.33,28.48,49.13,J,RB,n,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1012,RB,A,NA,0.13,21.01,39.55,J,RB,n,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1013,RB,A,NA,0.31,29.34,58.34,J,RB,n,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1015,RB,A,NA,0.25,27.62,52.41,J,RB,NA,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1019,RB,A,NA,0.14,20.18,39.50,J,RB,n,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1022,RB,A,NA,0.12,20.54,32.02,J,RB,NA,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1023,RB,A,NA,0.14,19.28,38.25,J,RB,NA,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1024,RB,A,NA,0.30,28.64,49.31,J,RB,NA,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1025,RB,A,NA,0.18,22.94,40.62,J,RB,y,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1028,RB,A,NA,0.21,26.70,43.20,J,RB,n,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1031,RB,G,3,0.52,29.30,58.00,J,RB,n,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1032,RB,G,3,0.23,26.00,45.60,J,RB,n,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1034,RB,A,NA,0.42,29.40,54.60,J,RB,NA,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1038,RB,A,NA,0.20,26.10,51.80,J,RB,NA,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1039,RB,A,NA,0.29,24.90,41.70,J,RB,NA,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1040,RB,A,NA,0.21,24.80,43.30,J,RB,n,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1043,RB,A,NA,0.23,28.50,45.80,J,RB,n,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1044,RB,A,NA,0.16,21.00,46.10,J,RB,n,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1046,RB,A,NA,0.16,23.80,42.00,J,RB,n,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1047,RB,A,NA,0.19,24.40,47.80,J,RB,n,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1048,RB,A,NA,0.51,31.00,64.70,J,RB,n,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1050,RB,A,NA,0.23,24.20,45.60,J,RB,n,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1051,RB,A,NA,0.26,26.90,48.90,J,RB,n,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1054,RB,A,NA,0.25,25.90,47.50,J,RB,n,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1055,RB,A,NA,0.28,26.50,49.30,J,RB,n,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1059,RB,A,NA,0.18,23.20,36.10,J,RB,n,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1005,RB,A,NA,0.18,22.16,39.57,J,RB,n,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1036,RB,A,NA,0.33,31.00,48.50,J,RB,n,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1017,RB,G,2,0.62,33.96,67.87,M,RB,n,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1029,RB,A,NA,0.97,41.50,79.20,M,RB,n,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1030,RB,G,3,0.82,39.80,77.50,M,RB,y,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1033,RB,A,NA,0.63,33.50,69.40,M,RB,NA,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1037,RB,A,NA,0.75,38.10,72.70,M,RB,n,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1041,RB,A,NA,0.94,41.00,79.50,M,RB,n,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1045,RB,A,NA,0.97,40.00,76.80,M,RB,n,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1052,RB,G,2,1.08,42.70,78.40,M,RB,n,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1057,RB,A,NA,0.86,41.30,78.50,M,RB,n,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1061,RB,G,3,0.79,37.30,67.70,M,RB,n,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1016,RB,G,2,0.88,38.69,77.67,F,RB,n,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1009,RB,G,2,0.72,37.60,74.85,F,RB,n,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1014,RB,A,NA,0.81,35.52,70.22,F,RB,n,A,19 T,706453,5099581,0
